model,category,r2_val,r2_val_std,rmse_val,rmse_val_std,mae_val,mae_val_std,mape_val,me_val,mpe_val,r2_train,rmse_train,mae_train,overfitting_gap,training_time,r2_test,rmse_test,mae_test,mape_test
LightGBM,Boosting,0.8867218516981122,0.010501746863622225,75886.49507529453,4937.9615096640155,49261.62260375086,2309.2507939167567,7.92865879059867,-3476.9265730604593,0.7080942291951934,0.9611369858618101,52659.82043421733,34316.293005044,0.07441513416369783,3.0272560119628906,0.8698447800805457,85957.66983126737,52643.61518854437,7.819426348646504
XGBoost,Boosting,0.8854750279754745,0.01200508015916848,76308.19777885455,6190.472436569972,48849.5967144887,2697.590853081025,7.675188429474241,-3810.3856957903163,0.6626194861028954,0.9807693032004708,41559.15915549484,25724.60172713102,0.09529427522499634,5.740290641784668,0.8634793856169456,88034.510924157,52565.95335177794,7.759001379434087
Stacking,Stacking,0.8822226933297321,0.009417973813266305,77378.18817620257,5305.321136725907,50272.17883596433,2658.8286639436847,7.860324348192644,-4396.280130920295,0.5421294610848265,0.9477770027967567,51581.03960528176,34457.093124797946,0.06555430946702456,34.56682753562927,0.8722483235022399,85160.29219547,52725.34303870899,7.832240251066261
Gradient_Boosting,Boosting,0.8740198130891098,0.006320283799357481,80029.76532521506,4373.352236729378,52452.414508244605,2460.536418965757,8.144029892803312,-4083.285291936957,0.6983062383265687,0.9311183347074465,57450.54052302047,38318.81022506163,0.05709852161833673,3.779419183731079,0.873637077409841,84696.1501111914,53797.726063029906,8.07248013194286
Random_Forest,Ensemble,0.8637245412699303,0.00903179840378412,83235.4224886575,5397.92909090201,53362.979483199844,2932.9485396229243,8.821154713466422,-6722.755082993419,0.7193828311095469,0.9281942964694447,71283.48530044481,46250.19696855386,0.06446975519951448,5.0357465744018555,0.8524970963499534,91506.95915198594,56326.863326149105,8.276566148652426
Extra_Trees,Ensemble,0.8582957846542995,0.010783818741776832,84872.26681762183,5658.265142507434,55212.88342109658,3010.257019726965,9.09739603675985,-8002.50640640138,0.7862652935079177,0.9158997646821817,75182.02949753036,49444.32122031289,0.05760398002788225,3.650256633758545,0.8502589000920888,92198.60461626285,57890.22047926904,8.590358570888311
Decision_Tree,Tree,0.821518152183374,0.0144987693770532,95120.1085106126,4370.658208409411,63099.94864745902,2467.9429664108116,10.00389315891842,-4445.511534886022,0.9447853383324972,0.8812281328017824,77780.25602245917,52206.915186282786,0.059709980618408376,0.1032106876373291,0.8144286481798079,102638.26557558826,66470.30570741594,10.062042932320056
ElasticNet,Linear,0.7768401556160651,0.01969069398620826,106345.93953764877,8267.838726839898,73737.79090938947,5011.487325431321,17.4060476677194,-26127.214626707915,2.297112364072277,0.7828229731994549,139954.2936044517,102955.09663480855,0.00598281758338981,0.04703378677368164,0.7877785491988611,109761.10697993684,74309.65394530965,11.578323144718302
Ridge,Linear,0.7766807120102439,0.020626423275990506,106371.53582489103,4526.203677138096,73712.6813419083,2405.534162541793,11.977397730328429,-7098.23189195058,1.2171909236905438,0.7827823521140849,105191.3262601537,73016.85601780177,0.006101640103840955,0.10244393348693848,0.7880723921512266,109685.09275140507,74276.29381881066,11.574302536799982
Linear_Regression,Linear,0.7765430623946947,0.02097961536768287,106399.71117516104,4877.243633690076,73719.13470457209,2613.206832509472,11.965056509281533,-6638.050097114692,1.215943367768703,0.7826928780621681,105222.71645347145,72961.05640592065,0.006149815667473413,0.0776219367980957,0.7880944082283715,109679.39529129674,74281.60237428494,11.576364907803859
Lasso,Linear,0.7755227979092769,0.01718707619339468,106695.13972717377,9752.454341090093,74290.63590817385,6179.131598202533,21.648303211159025,-32917.33711168014,3.432594987625842,0.7809952289176125,171298.8242251182,127826.94428799293,0.00547243100833561,0.047936201095581055,0.784353439324242,110643.29654881348,75065.24423675511,11.730224919267545
Baseline_Mean,Baseline,-0.028771406815376245,0.009716312135127128,228730.4988504628,9719.472791761546,174754.12698149745,6021.2061753862445,29.958481391360653,-37830.439380985554,6.342219027993584,-0.028082316938284713,228879.51767770472,174715.09135115624,0.0006890898770915317,0.013913631439208984,-0.040778403987604905,243070.90327246566,184505.9658598959,30.987321947968688
Baseline_Median,Baseline,-0.05041554041921921,0.01303060115490479,231128.1626413235,10003.18789086948,174527.0833555541,6057.2216893186915,29.254498663777476,-50318.8487713911,3.9860454113232535,-0.04971271879273172,231274.3927267869,174435.45865261156,0.0007028216264874931,0.026214599609375,-0.06407599086469795,245776.38996873837,184333.6850507983,30.284460380796187
