image_id,property_id,property_address,property_price,property_url,image_url,image_order
3011,5927,Oude Spiegelstraat 6-B,490000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-oude-spiegelstraat-6-b/43353758/,https://cloud.funda.nl/valentina_media/225/168/976.jpg?options=width=1440,0
2003,5712,Wedderborg 81,895000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-wedderborg-81/43239311/,https://cloud.funda.nl/valentina_media/224/288/913.jpg?options=width=1440,0
2991,5923,Wolbrantskerkweg 175-B,425000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-wolbrantskerkweg-175-b/89716241/,https://cloud.funda.nl/valentina_media/225/127/218.jpg?options=width=1440,0
2023,5716,Amstelkade 77-1,400000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-amstelkade-77-1/43236007/,https://cloud.funda.nl/valentina_media/224/161/665.jpg?options=width=1440,0
411,5385,Meerluststraat 113,420000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-meerluststraat-113/43992817/,https://cloud.funda.nl/valentina_media/209/116/117.jpg?options=width=1440,0
2986,5922,Krammerstraat 11-H,599000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-krammerstraat-11-h/43353169/,https://cloud.funda.nl/valentina_media/225/180/848.jpg?options=width=1440,0
2028,5717,Postjeskade 14-1,495000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-postjeskade-14-1/43223736/,https://cloud.funda.nl/valentina_media/224/041/268.jpg?options=width=1440,0
2981,5921,Admiraal De Ruijterweg 283-4,425000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-admiraal-de-ruijterweg-283-4/43353073/,https://cloud.funda.nl/valentina_media/225/176/752.jpg?options=width=1440,0
2033,5718,Bellamystraat 372-F,850000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bellamystraat-372-f/43213745/,https://cloud.funda.nl/valentina_media/223/657/494.jpg?options=width=1440,0
4995,6298,Orange Polly (Bouwnr. 140),343000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-orange-polly-bouwnr-140/43169658/,https://cloud.funda.nl/valentina_media/217/102/628.jpg?options=width=1440,0
2976,5920,Insulindeweg 60-H,400000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-insulindeweg-60-h/89720779/,https://cloud.funda.nl/valentina_media/225/292/901.jpg?options=width=1440,0
2038,5719,Rijnstraat 217-2,698000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-rijnstraat-217-2/43291670/,https://cloud.funda.nl/valentina_media/222/839/589.jpg?options=width=1440,0
